resume_id,score,coverage,decision
1412,23.09,0.53,Rejected
1935,23.09,0.47,Rejected
1068,23.09,0.53,Rejected
1253,23.07,0.47,Rejected
131,23.05,0.53,Rejected
185,23.05,0.47,Rejected
1037,23.05,0.53,Rejected
531,23.03,0.53,Rejected
1061,23.03,0.53,Rejected
2061,23.0,0.53,Rejected
617,22.99,0.53,Rejected
2458,22.98,0.53,Rejected
1968,22.98,0.47,Rejected
970,22.97,0.53,Rejected
1137,22.97,0.4,Rejected
1201,22.95,0.53,Rejected
499,22.94,0.53,Rejected
2284,22.92,0.53,Rejected
1625,22.89,0.53,Rejected
1320,22.89,0.53,Rejected
1135,22.89,0.53,Rejected
1761,22.88,0.47,Rejected
299,22.88,0.53,Rejected
1942,22.87,0.47,Rejected
248,22.84,0.47,Rejected
583,22.82,0.47,Rejected
651,22.81,0.47,Rejected
336,22.8,0.53,Rejected
1997,22.8,0.47,Rejected
581,22.78,0.53,Rejected
677,22.77,0.53,Rejected
1328,22.76,0.47,Rejected
335,22.75,0.47,Rejected
1347,22.73,0.53,Rejected
1477,22.72,0.53,Rejected
702,22.7,0.53,Rejected
1435,22.69,0.53,Rejected
1794,22.69,0.47,Rejected
703,22.69,0.53,Rejected
1414,22.69,0.53,Rejected
568,22.68,0.47,Rejected
664,22.66,0.53,Rejected
223,22.65,0.53,Rejected
719,22.65,0.53,Rejected
979,22.63,0.53,Rejected
2029,22.63,0.47,Rejected
1273,22.62,0.53,Rejected
966,22.62,0.53,Rejected
1150,22.61,0.47,Rejected
1280,22.61,0.53,Rejected
1517,22.58,0.53,Rejected
1131,22.58,0.53,Rejected
286,22.58,0.4,Rejected
1760,22.57,0.47,Rejected
1216,22.55,0.47,Rejected
326,22.54,0.47,Rejected
1312,22.54,0.47,Rejected
123,22.52,0.53,Rejected
1005,22.5,0.53,Rejected
1004,22.49,0.53,Rejected
224,22.49,0.53,Rejected
2233,22.48,0.47,Rejected
2176,22.48,0.53,Rejected
1779,22.47,0.47,Rejected
198,22.46,0.53,Rejected
1441,22.45,0.53,Rejected
2000,22.45,0.4,Rejected
2478,22.43,0.53,Rejected
2438,22.43,0.47,Rejected
432,22.42,0.53,Rejected
1757,22.41,0.47,Rejected
1652,22.41,0.47,Rejected
1373,22.41,0.53,Rejected
846,22.4,0.47,Rejected
1323,22.39,0.47,Rejected
2134,22.37,0.53,Rejected
2115,22.35,0.53,Rejected
976,22.35,0.4,Rejected
1787,22.35,0.47,Rejected
94,22.34,0.53,Rejected
2077,22.34,0.47,Rejected
471,22.34,0.47,Rejected
1178,22.33,0.47,Rejected
1559,22.31,0.47,Rejected
527,22.31,0.53,Rejected
1018,22.31,0.47,Rejected
532,22.3,0.47,Rejected
1409,22.29,0.53,Rejected
906,22.29,0.47,Rejected
2103,22.23,0.47,Rejected
1011,22.22,0.47,Rejected
2313,22.18,0.47,Rejected
422,22.17,0.53,Rejected
1710,22.16,0.47,Rejected
2034,22.16,0.47,Rejected
811,22.16,0.53,Rejected
996,22.12,0.47,Rejected
220,22.11,0.47,Rejected
1278,22.11,0.47,Rejected
1232,22.11,0.53,Rejected
535,22.1,0.53,Rejected
2430,22.09,0.53,Rejected
1218,22.08,0.33,Rejected
1445,22.07,0.47,Rejected
2393,22.07,0.47,Rejected
1774,22.07,0.47,Rejected
493,22.05,0.53,Rejected
1431,22.05,0.53,Rejected
1737,22.03,0.47,Rejected
2183,22.03,0.47,Rejected
1634,22.02,0.53,Rejected
296,22.02,0.47,Rejected
420,22.01,0.53,Rejected
1930,22.0,0.4,Rejected
1969,21.98,0.47,Rejected
173,21.95,0.47,Rejected
1495,21.94,0.47,Rejected
1,21.93,0.47,Rejected
0,21.93,0.53,Rejected
312,21.93,0.4,Rejected
169,21.91,0.47,Rejected
1955,21.9,0.4,Rejected
184,21.9,0.47,Rejected
1899,21.88,0.53,Rejected
1834,21.88,0.47,Rejected
310,21.87,0.47,Rejected
2238,21.86,0.47,Rejected
2420,21.84,0.4,Rejected
2287,21.84,0.47,Rejected
1624,21.84,0.47,Rejected
1800,21.82,0.47,Rejected
1361,21.81,0.53,Rejected
258,21.8,0.53,Rejected
785,21.77,0.53,Rejected
844,21.74,0.47,Rejected
1220,21.73,0.47,Rejected
1319,21.71,0.47,Rejected
1042,21.7,0.47,Rejected
689,21.69,0.47,Rejected
892,21.67,0.4,Rejected
2196,21.66,0.47,Rejected
111,21.65,0.47,Rejected
288,21.63,0.47,Rejected
1982,21.63,0.47,Rejected
2423,21.62,0.47,Rejected
1127,21.62,0.47,Rejected
232,21.61,0.47,Rejected
1584,21.6,0.47,Rejected
1813,21.57,0.47,Rejected
1318,21.57,0.47,Rejected
1948,21.56,0.53,Rejected
1083,21.56,0.47,Rejected
206,21.55,0.47,Rejected
